question,answer,start_time,end_time,Unnamed: 4
*ครูเงาะเกริ่นที่มาของคำถามเพิ่มเติมว่า* ตามวิธีการปฏิบัติของแนวทางของพระอาจารย์ต้นในการฝึก ลำดับแรกก็คือการท่องพระรัตตรัยเพื่อเป็นการเชื่อมต่อระลึกถึงพระรัตนตรัยโดยบท พุทโธเมนาโถ ธัมโมเมนาโถ สังโฆเมนาโถ เมื่อปฏิบัติแล้วทำให้เรารู้สึกถึงความเชื่อมโยงกับพระรัตตรัยแล้วเราก็จะเริ่มการท่องธาตุกรรมฐานเพื่อให้สร้างปัญญาซ่อนจิตให้จิตได้รู้ก่อนว่าร่างกายประกอบไปด้วยธาตุอะไรบ้าง เมื่อท่องธาตุตัวนี้ได้ถัดไปก็จะเป็นการพิจารณากายหกขั้นตอน ดังนั้นหลังสวดพระรัตนตรัย สมองมักจะลืมท่องธาตุดิน แต่จิตก็ท่องต่อไปอัตโนมัติจนจบ สามารถท่องพิจารณากายหกขั้นเลยได้มั้ย ,ทําได้เลย,00.01.36,00.04.00,
จิตเมื่อตายแล้ว จิตจะรู้หรือไม่ว่าตายแล้ว หรือจะล่องลอยเหมือนกับที่เราฝัน,ตามหลักพระพุทธศาสนามองเรื่องการตายไว้ว่า จิตทุกดวงจะสามารถรู้ว่าตนเองจะต้องตายแน่นอน เพราะว่าก่อนที่จิตจะดับ มันจะเกิดคตินิมิตร เป็นเครื่องรองรับในการที่จะเคลื่อนออกจากร่าง ซึ่งจะเป็นเครื่องบ่งบอกว่าจะต้องออกจากร่างแล้วเข้าสู่ภพใหม่ ,00.05.14,00.12.05,
มีความคิดเห็นอย่างไรกับปีชง และขอคําแนะนำในการแก้ปีชง,มันเป็นส่วนหนึ่งของชีวิตที่ต้องประสบภาวะบางอย่างที่ประจวบเหมาะกับสิ่งที่กระทบในเรื่องที่ร้ายๆ หรือเรื่องที่ไม่ดี ที่เรียกว่าเคราะห์กรรมหรือชงนี่เอง แน่นอนชีวิตเรามันมันไม่สามารถที่จะดําเนินไปอย่างราบรื่นได้ไปตลอดชีวิต มันต้องมีดีและมีไม่ดี มีจังหวะของชีวิตที่จะต้องประสบ เจอสิ่งที่เรียกว่าชงอะไรต่างๆเข้ามา จริงๆระบบของคําว่าชง เขาหาคําอธิบายจากเหตุปัจจัยในการนํามาสู่การได้รับผลทางเคราะห์ร้ายในปัจจุบันว่ามันมีเหตุปัจจัยมาจากอะไร เขาไม่สามารถที่จะอธิบายได้ แต่พุทธศาสนาเราอธิบายได้ว่า เหตุนั้นก็คือกฎแห่งกรรม ที่จะสามารถอธิบายผลที่ปรากฏกับเรา ศาสตร์ที่เขาไม่สามารถอธิบายได้ เขาเลยเรียกสภาพแห่งเคราะห์กรรมหรือวิบากที่เราได้รับว่าเป็นการชง วิธีการที่จะเผชิญกับกรรมวิบากให้เผชิญโดยมีจิตระลึกถึงพระรัตนตรัย ในฐานะชาวพุทธให้มีจิตระลึกถึงพระรัตนตรัยย้ำๆซ้ำๆ พร้อมด้วยการประกาศบทรัตนปริตร เพื่อเป็นเครื่องคุ้มครองรักษา ต้านทาน ลดทอนการชงหรือเคราะห์ร้ายหรือกรรมวิบากนั้นๆ ให้เบาบางลง แต่สุดท้าย ยังไงเหตุร้ายหรือเรื่องร้ายก็ต้องเกิด,00.12.06,00.17.05,
กสิณไฟอุคคหนิมิตและปฏิภาคนิมิต มีลักษณะอย่างไร,พระอาจารย์เคยทําแต่กสิณน้ำ ยังไม่เคยทำกสิณไฟ จึงไม่สามารถอธิบายาการทํากระสินไฟได้ว่าจะต้องเป็นแบบไหนอย่างไร แต่แนะนำไว้ว่าถ้าเราไม่ได้มุ่งหมายเพื่อที่จะทําฌาน ก็ไม่ควรที่จะไปทํากสิณ ถ้าหากมุ่งหมายเพื่อพระนิพพาน ก็ควรจะหาเส้นทางแห่งการดําเนินเพื่อพระนิพพาน หากอยากศึกษาเรื่องของกสิณไฟก็ควรจะหาครูที่เชี่ยวชาญเรื่องนี้ การทํากสิณนั้นจริงๆ แล้ว มันเป็นเรื่องของบุคคลผู้ที่เชี่ยวชาญในเรื่องของการทําฌานมาก่อน จากนั้นเมื่อเขาได้ทําฌานแล้ว เขาไม่รู้ว่าที่สุดแห่งความหลุดพ้นอยู่ที่ไหน เขาจึงได้เข้ามาสู่พระศาสนา พระพุทธเจ้าก็อธิบายธรรมะที่สอดคล้องกับกสิณที่เขาฝึก พระองค์จึงสามารถทําให้เขาตั้งอยู่ในคุณธรรมของศาสนานี้ ไม่ว่าจะเป็นความเป็นโสดาบัน สังกัดทางคามีอนาคามี อรหันต์ด้วยกสิณนั้นๆ แต่บุคคลผู้ที่จะเชี่ยวชาญในเวลานี้หายากมาก หรือแทบจะไม่มีเลย,00.17.06,00.20.39,
ตั้งใจงดเว้นตามศีล 5 ทุกวัน แต่ไม่ได้กล่าวสมาทานทุกวัน กล่าวแค่วันขึ้น 8 ค่ำและ 15 ค่ำ จะถือว่าเป็นผู้มีศีลและได้บุญไหม,ศีลเกิดขึ้นจากแรงแห่งเจตนาที่จะงดเว้น แค่ตั้งเจตนาว่าจะงดเว้น ศีลก็บังเกิดขึ้นทันที ไม่จําเป็นจะต้องกล่าวสมาทานหรือทำพิธีกรรมอะไรบางอย่างในการรักษาก็ได้ ,00.20.40,00.22.13,
อยากปฏิบัติธรรมให้ถึงพระนิพพานชาตินี้จะสําเร็จไหม ต้องเริ่มต้นจากอะไรก่อน และการถือศีลห้าแบบเคร่งเพียงพอหรือไม่,"องค์ประกอบในการที่จะทําให้เราเข้าถึงมรรคผลในชาตินี้ มี 5 ประการ หนึ่งคือบุคคลผู้นั้นได้เกิดมาเป็นมนุษย์ที่สมบูรณ์แบบในความเป็นมนุษย์ สองคือบุคคลผู้นั้นได้พบพระพุทธศาสนา สามคือยึดหลักธรรมคําสอนตามในพระพุทธศาสนานี้เท่านั้น สี่คือมีจิตใจที่อยากจะนําหลักธรรมคําสอนที่ฟังไปปฏิบัติ และห้า คือ มีความเพียรอย่างถูกต้อง แล้วในองค์ประกอบความเพียรข้อที่ห้านั้น จะต้องประกอบไปด้วยองค์แห่งความเพียรห้าประการ ดังนี้ 
หนึ่งคือเป็นผู้มีศรัทธาอย่างแรงกล้า ต้องเชื่อปัญญาการตรัสรู้จริงของพระสัมมาสัมพุทธเจ้าเท่านั้น สองคือเป็นผู้มีร่างกายแข็งแรง สามคือไม่โอ้อวดในการประพฤติธรรม สี่คือมีความเพียรอยู่เสมอ ห้าคือมีปัญญาอันเห็นความเกิดและความดับเป็นปัญญาเพื่อชําแรกกิเลส นี่คือองค์ประกอบความเพียรห้าประการอันบุคคลเจริญให้มาก กระทําให้มากแล้วจะเข้าถึงอรหัตผลภายในเจ็ดปี",00.22.14,00.28.09,
ถ้าอธิษฐานขอพรจากพระรัตนตรัย แล้วไปขอจากพระอินทร์ร่วมด้วย สามารถทำได้หรือไม่,ทำได้ เพราะ พระอินทร์ก็เป็นพระอริยบุคคล คือ เป็นผู้บรรลุพระโสดาบัน และอยู่ในส่วนของพระรัตนตรัยด้วย แต่จะให้ขอให้บรรลุธรรมไม่ได้,00.28.10,00.30.47,
เวลานั่งสมาธิ แล้วจู่ๆสมาธิหลุด จิตซ้อนคิดเรื่องอื่นแทรกขึ้นมา พอรู้ตัวแล้ว เราสามารถดึงจิตกลับมาภาวนาต่อได้มั้ย ผิดไหม,การรู้ตัวกับดึงสติกลับมา มันต่างกันตรงที่เมื่อสติระลึกรู้เอง มันเป็นการทํางานของสติ แต่ถ้าเราเข้าไปดึง ไม่ใช่ทํางานของสติ แต่เป็นการทํางานของเรา ฉะนั้นเมื่อสติระลึกรู้ตัวได้เมื่อไหร่ สิ่งเหล่านั้นก็กลับมาเองอัตโนมัติ ไม่มีใครต้องดึงก็ได้ การมีสติไม่ได้หมายถึงจิตเราจะต้องไม่ล่องลอยหนีออกไปจากกรรมฐานที่ทํา แต่เราจะเข้าใจทั้งสองส่วนคือส่วนของเจตนาที่มันอ่อนลง เมื่อเจตนามันอ่อนลง ไม่เป็นไปด้วยความสืบเนื่องในสิ่งที่เรากระทําอยู่ ส่วนที่เหลือเจตนาจึงเข้ามาทํางานแทนที่โดยปกติ มันไม่ใช่ถูกดึงออกไปไหน แล้วไม่จําเป็นต้องดึงกลับมา สติสามารถรับรู้ได้ทั้งส่วนที่เป็นเจตนาเดิมที่อ่อนลง และส่วนที่นอกเจตนาเดิมที่ทําหน้าที่แทนในเจตนาในจิตนั้น คําว่ามีสติก็คือเข้าใจสิ่งที่มันเป็นอย่างนี้ในจิต ไม่ได้ไปเปลี่ยนแปลงความเป็นจิตให้เป็นอย่างนั้นอย่างนี้ มันเป็นธรรมชาติโดยปกติอยู่แล้วที่มันจะต้องมีเจตนาและเจตนานั้นไม่สามารถเป็นไปได้อย่างต่อเนื่อง ด้วยกําลังเจตนานั้นมันอ่อนลงได้เพราะมันยังไม่เพียงพอต่อการที่จะตั้งมั่น อันเหนือเจตนาก็แทรกเข้ามาก็ไม่เป็นไร สติเมื่อได้ทํางานอย่างถูกต้องและเต็มที่แล้ว ไม่ใช่หน้าที่ของเราที่จะเข้าไปควบคุมหรือแก้ไขอีกต่อไป,00.30.48,00.39.07,
ผีกลัวพระหรือไม่ ถ้าเจอต้องใช้บทสวดใด,"ผีไม่ได้กลัวพระ ตัวอย่างเช่น พระโมคคัลลานะก็ยังถูกผีเข้าสิงในร่างกายได้อยู่ ถ้าเจอผีอย่าไปพยายามกําจัด หรือทําพิธีขจัดปัดเป่าผี เพราะผีไม่ใช่สิ่งชั่วร้าย เขาก็คือ
ดวงจิต ดวงวิญญาณหนึ่งที่เคยเป็นมนุษย์เหมือนกัน เพียงแต่มีบุญน้อยจึงไปเป็นผี สิ่งที่ควรทํามากที่สุดเมื่อเจอผีก็คือ อุทิศส่วนกุศลให้เขา เขาจะได้พ้นจากกรรมวิบากในฐานะแห่งความเป็นผี การทำพิธีกรรมอะไรต่างๆถือว่าเป็นการผิดจากหลักของเมตตาธรรม มนุษย์ไม่ควรเบียดเบียนมนุษย์และมนุษย์ก็ไม่ควรเบียดเบียนอนุษย์ด้วย ฉะนั้นจึงไม่ควรทําอย่างยิ่ง แต่ถ้าเขารบกวนเรามากก็ให้ระลึกถึงบทพุทโธ เมนาโถ ธัมโมเมนาโถ สังโฆเมนาโถ ย้ำๆ ซ้ำๆ ในจิต แต่ถ้าท่องบทนี้แล้วยังมีการรบกวนอยู่ ให้สวดบทพระปริตร ซึ่งไม่ได้เป็นการกําจัดหรือทําให้เขาได้รับความเดือดร้อน แต่เป็นการคุ้มครองเราจากการก่อกวนนั้น",00.39.08,00.41.07,
เคยปฏิบัติจนเห็นก้อนกลมสีดําโปร่งใสกลางอก บางครั้งเห็นเป็นดวงสีขาวทั่วร่างกาย บางครั้งเห็นเป็นสีส้ม ขอคำแนะนําว่าควรปฏิบัติต่ออย่างไร,คําว่า เคยปฏิบัติ คือปฏิบัติแบบไหน เพราะการปฏิบัติที่จะส่งผลในความเป็นอย่างที่อธิบายมา จะได้เชื่อมโยงได้ว่า เคยปฏิบัติแบบไหนมาก่อน จึงนํามาสู่ความเป็นอย่างนี้ แล้วถ้าจะปฏิบัติอย่างไรต่อไป ก็จะมีข้อแนะนําอีก,00.41.08,00.41.59,
ในปัจจุบันมักมีคํากล่าวกันว่าจงใช้ชีวิตให้มีความสุข หาทรัพย์ให้มาก มียศสรรเสริญจะได้ไม่ลําบาก ไม่ทุกข์และมีความสุข พระพุทธองค์ได้ทรงสอนให้เราแสวงหาความสุขหรือความสงบสุข การดับทุกข์ในแบบพระพุทธศาสนาต่างจากการดับทุกข์ทางโลกอย่างไร,"พระพุทธศาสนานั้นไม่ได้ปฏิเสธความสุขแบบโลกียะห์ และไม่ได้ปฏิเสธความสุขในเรื่องของกามสุข ไม่ได้ปฏิเสธในการที่มนุษย์จะแสวงหาความสุขใส่ตน และแสวงหาลาภยศตําแหน่งสรรเสริญ และพระองค์ก็รู้ด้วยว่าสิ่งนี้เป็นสิ่งที่มนุษย์ปรารถนา
พระองค์ก็สอนให้มนุษย์กระทําเหตุเพื่อให้ได้ผลอย่างนั้น การได้มาอย่างถูกต้อง โดยชอบธรรม ไม่ใช่ไปทําสิ่งที่ผิดวิสัย ไม่ได้เป็นการสร้างเหตุปัจจัยเพื่อนําความเดือดร้อนมาในภายหลัง แต่การได้ความสุขในลักษณะแบบโลกียะห์นั้น พระองค์ตรัสว่าเป็นประดุจดั่งตักน้ำใส่ถังรั่ว มันไม่มีทางเต็ม แม้จะมีความสุข แต่เราก็สุขในขณะที่เราตักตวงความสุขใส่ตน ถ้าไม่ทําต่อ มันก็จะบกพร่องหรือหายไป ฉะนั้นการที่เราจะต้องมาคอยตักน้ำใส่ถังรั่ว มันก็จะเป็นความลําบาก การดับทุกข์ในความหมายของพุทธองค์นั่นก็คือ หนึ่ง การดับทุกข์โดยอาศัยการดับเชื้อแห่งการนํามาซึ่งความทุกข์ การที่พระพุทธศาสนาตรัส หลักแห่งอริยมรรคแปดเพื่อเข้าไปดับเชื้อแห่งความทุกข์ที่นําสืบไปสู่ภพใหม่ แล้วไม่ให้เราไปทุกข์อีกในภพใหม่นั้น หลักอริยมรรคนี้จึงสอนเพื่อหนึ่งดับทุกข์ในปัจจุบัน สอง ดับทุกข์ในภายภาคหน้า ฉะนั้นการดับทุกข์ในทางพุทธศาสนาจึงเป็นการดับทุกข์แบบถาวร ไม่ใช่การดับทุกข์โดยการแสวงหาแบบในชั้นโลกียะห์นี้ เป็นการดับทุกข์โดยที่ไม่กลับมาทุกข์อีก เรียกว่าเป็นการดับทุกข์โดยถาวรนั่นเอง ",00.42.00,00.45.59,
ในฐานะที่เรานับถือศาสนาพุทธ เราควรเดินทางไปสักการะสถานที่สําคัญในประเทศอินเดียสักครั้งในชีวิตไหม,พุทธองค์เคยตรัสไว้กับอานนท์ว่าผู้เป็นพุทธสาวก ควรที่จะไปนมัสการสังเวชนียสถานที่พุทธองค์ตรัสไว้ว่าควรแก่การสักการะสําหรับหมู่ชาวพุทธเราสักครั้งหนึ่งในชีวิต แต่ถ้าเกิดไม่สะดวกไปไม่ได้ การปฏิบัติบูชาก็ทําได้ที่ไหนก็ได้ แต่ถ้าได้ไปมันดีต่อใจ,00.46.00,00.47.22,
ไม่ได้นั่งสมาธิ แต่คิดเสมอว่าเรื่องที่เกิดขึ้นทุกเรื่องเป็นเรื่องธรรมดา และพยายามไม่ว่าไม่คิดเรื่องของคนอื่น แล้วก็ดูจิตของตัวเองไม่ให้คิดมาก แบบนี้จะได้ไหม,ได้ เพราะการปฏิบัติเข้าไปสู่ความเป็นอริยบุคคลเบื้องต้นนั้นยังไม่ต้องอาศัยกําลังของสมาธิมากเท่าไหร่ อาศัยเพียงแค่การไตร่ตรองด้วยเหตุและผล เพื่อให้เกิดความเข้าใจในความเป็นธรรมดาอยู่เสมอ และจิตเราเมื่อคุ้นเคยกับความเป็นธรรมดาอยู่บ่อยๆ จิตเราก็จะสามารถตั้งมั่นที่จะเห็นทุกอย่าง เกิดดับตามความเป็นจริงได้ ก็ขอให้ปฏิบัติแบบนี้ไปเรื่อยๆ,00.47.23,00.48.16,
"ถ้าเรานั่งสมาธิแล้วพิจารณากายานุสติ, อสุภะ, มรณานุสติ แล้วรู้สึกมีมนุษย์ใสหรือพระพุทธรูปใสมารวมเป็นเรา มีแสงขาวสว่างที่จักระ 4 น่าจะบริเวณท้องหรือหน้าอก ค่อยๆ กระจายความสว่าง 180 องศาซีกซ้ายของร่างกาย เกิดอะไรขึ้น มาถูกทางไหม","ลักษณะอย่างนี้มันเป็นการก่อเกิดของสิ่งที่เรียกว่านิมิต นิมิตเหล่านี้มักจะเกิดด้วยอํานาจของสมาธิ บุคคลผู้พิจารณากายมักจะมีนิมิตเหล่านี้ปรากฏ การปรากฏขึ้นของนิมิตเป็นการปรุงแต่งด้วยอํานาจของสมถะ หรือสมาธิที่กําลังกระทําอยู่
แล้วสมาธินั้นจะแสดงออกฉายภาพต่อจิต โดยดึงเอาเรื่องราวในสิ่งที่จิตเคยเป็นมาแต่ก่อนนี้มาปรากฏให้ทราบ อยากจะให้พิจารณาว่าสิ่งที่ปรากฏขึ้นนี้คือสังขาร เป็นการปรุงแต่งของสังขาร สังขารที่ปรุงแต่งอยู่นี้เป็นสังขารที่มีความไม่เที่ยง มีความไม่คงที่ มีความแปรปรวน และไม่สามารถที่จะตั้งมั่นอย่างงี้ได้ การพิจารณาอยู่อย่างนี้จะทําให้คลายออกจากนิมิต และจิตเมื่อคลายออกจากนิมิต ก็จะเกิดการพัฒนา หรือว่าก้าวออกจากสิ่งที่เรียกว่านิมิตไปสู่สิ่งที่เรียกว่าปัญญาได้
",00.48.17,00.50.08,
มีเพื่อนคนหนึ่งไม่กลัวบาปกรรมเพราะคิดว่านรกไม่มีจริง โดยอ้างว่าผู้ที่นับถือศาสนาอื่นที่ไม่ใช่ศาสนาพุทธจะตกนรกได้อย่างไร,กินยาพิษ ไม่ได้กลัวโทษของยาพิษ ยาพิษก็ยังจะทําร้ายคนนั้น โดยปกติไม่ว่าจะเป็นคนพุทธ คริสต์ อิสลาม พราหมณ์ ฮินดู หากกินยาพิษตัวเดียวกันก็ได้รับพิษแบบเดียวกัน ไม่ได้แยกแยะศาสนา เพราะฉะนั้น นรกหรือสวรรค์ก็ไม่ได้แยกแยะบุคคลผู้นับถือหรือไม่นับถือในศาสนา แต่ด้วยความที่พุทธองค์รู้ธรรมชาติแห่งความเป็นจริงของภพภูมิ คือ สิ่งที่เรียกว่าอบาย จึงนํามาบอกสอนว่าสิ่งเหล่านี้มีอยู่จริง แล้วทางไปอบายนั้นก็เกิดจากอกุศลวิบากทั้งหมด ฉะนั้นไม่ขึ้นว่าไม่ขึ้นอยู่กับว่าใครจะเชื่อหรือไม่เชื่อ แต่ความจริงมีอยู่อย่างนี้ การเชื่อก็จะได้รับประโยชน์ ถ้าไม่เชื่อก็จะเสียประโยชน์ คือไม่ได้พ้นจากโทษ,00.50.09,00.53.46,
แนะนําผู้ที่ชอบดูหมอดูดวงหน่อยว่าจริงๆ แล้วมีอยู่ในพุทธวจนหรือเปล่า,การดูหมอดูดวงมีมาตั้งแต่ครั้งพุทธกาล เมืองอินเดียในเวลานั้นก็มีการพยากรณ์โดยการตํารับตําราทางโหราศาสตร์ แม้พระราชาก็ต้องมีโหราศาสตร์เพื่อทํานายทายนิมิต หรือเกี่ยวกับบ้านเมือง เกี่ยวกับบุคคลเป็นกิจวัตร แต่พระองค์ตรัสไว้ว่าสิ่งที่ นักดูหมอหรือดูดวงทั้งหลายเขาอาจจะสามารถทราบได้ว่า จะเจอเหตุอย่างนี้ เจอเรื่องราวแบบนี้ เจอสิ่งที่ไม่ดีในชีวิตหรือประสบความสําเร็จหรือล้มเหลวอะไรบางอย่าง เขาสามารถล่วงรู้ได้ แต่เขาจะไม่สามารถรู้ได้ว่าเหตุที่นํามาซึ่งผลอย่างนี้มาจากไหน เขารู้แต่เหตุ แต่พระองค์รู้เหตุ พระองค์รู้เหตุว่ากรรมชนิดไหนนํามาและก็สอนวิธีในการที่จะแก้เหตุโดยการแก้กรรมนั้นอย่างถูกต้อง แต่ถ้าโหราศาสตร์จะไม่ได้แก้กรรมอย่างถูกต้อง มันอาจจะแค่แก้เคราะห์ แก้เรื่องราวแบบเฉพาะหน้า ขจัดปัดเป่าด้วยพฤติกรรมบางอย่าง มันไม่ได้หายไปจริงๆ มันยังมีอยู่ สุดท้ายมันก็จะวนกลับมาเหมือนเดิม แล้วก็เป่าใหม่ แต่การแก้เหตุที่พระองค์ตรัสไว้ คือ แก้ที่เหตุ จะหยุดเรื่องนั้นอย่างถาวร,00.54.02,00.56.18,
