question,answer,start_time,end_time,Unnamed: 4
การบําเพ็ญบารมีในขั้นทานบารมีจนถึงพระนิพพาน มีขั้นตอนการบําเพ็ญอย่างไรบ้าง,"ทานบารมีเอาไว้เพื่อป้องกันความตระหนี่ เบื้องต้นมนุษย์มีความตระหนี่ในทรัพย์ การสละทรัพย์ก็เพื่อชําระความตระหนี่ที่เรามี ด้วยความที่พระองค์ทรงสอนให้สละความตระหนี่ จากทรัพย์ก่อน จึงนําเข้ามาสู่การสละสิ่งที่เกี่ยวข้องกับตนเอง
คือสละความเป็นตัวตนของตัวเองออกไป ความเป็นตัวตนที่เรายึดถือว่าเป็นตนอยู่มันเป็นการยึดถือด้วยความเห็นผิดที่เข้าใจว่าเป็นเรา พระองค์จึงบอกว่า
เมื่อความเห็นและความเข้าใจว่าเป็นตนมีตน เกิดขึ้นในตนเอง ความเห็นว่าเป็นของของตนจึงมีขึ้น เช่น ทรัพย์เรา สิ่งของนั้นเป็นของเรา จนพระองค์มองเห็นว่าการเห็นว่าเป็นตนและเป็นของของตนแบบนี้มันเป็นที่มาของความตระหนี่ในการยึดถือ ฉะนั้นการสลัดสิ่งภายนอกก่อน คือการทําลายความตระหนี่ในการยึดถือว่าเป็นตนนั้นออกไป อาจเริ่มตั้งแต่วัตถุทางมาสู่อภัยทานนะ แล้วจากอภัยทานคือสลัดความคิดที่ไม่ดี คิดร้าย มุ่งร้ายปรารถนาร้าย แล้วก็สละสิ่งที่เรียกว่าความสุขในชีวิตตัวเอง เพราะเราหวงแหนความสุขทั้งหมดไว้ ก็หวงแหนไว้เพื่อตนเอง เมื่อเราเริ่มสละความสุขโดยการรู้ว่าสิ่งนี้คือทุกข์ เราก็จะไม่แสวงหาสุข แต่ไม่ได้หมายถึงว่าต้องปฏิเสธความสุข แต่เราไม่ได้แสวงหาเพื่อมาตอบสนองต่อความเป็นตัวเรา จากนั้นเราก็เริ่ม เริ่มสละความเห็นที่เห็นว่าเป็นตนออกไปจากการยึดมั่นถือมั่นว่าเป็นตน การที่เราสละความรู้สึกเหล่านี้ออกไปได้ทั้งหมด ความเป็นตัวตนจะค่อยๆ ถูกคลายออก เริ่มต้นจากการให้ทานไปเรื่อยๆ ทานไปว่าการสละหรือการให้ ให้สิ่งต่างๆ ออกไป
",00.56.35,01.00.19,
ลูกสาวเกิดมาไม่เคยป่วย แล้วมาป่วยจนเสียชีวิต มันเกิดจากอะไร,เหตุปัจจัยแต่อดีตอันเป็นกรรมวิบากนั้น พระอาจารย์เคยอธิบายว่ากรรมที่เคยทําแม้ในแสงกัปที่แล้ว ยังสามารถส่งผลในปัจจุบันนี้ได้อยู่ ฉะนั้นขอให้เข้าใจว่าหลักการทางพุทธศาสนาจะไม่กล่าวถึงสิ่งที่เกิดขึ้นแบบลอยๆ ที่ไม่มีเหตุปัจจัยมาก่อน ทุกเรื่องที่เกิดขึ้นมีเหตุปัจจัยมาแต่ปางก่อน เด็กที่ป่วยแล้วเสียชีวิตก็คือเกิดจากกรรม ถ้ากรรมนั้นจะระบุได้ก็ระบุตรงที่ว่า กรรมนั้นต้องเกิดจากสิ่งที่เรียกว่าปาณาติบาตแล้วปาณาติบาตมันมาถึงตัวเขาในขณะนั้น ในขณะปัจจุบันไม่ว่าจะเกิดในวัยไหนก็ตาม หากปาณาติบาตตามมาถึงเมื่อไหร่ ก็ตัดรอนชีวิตของบุคคลนั้นได้เมื่อนั้นทันที,01.00.20,01.02.18,
นั่งสมาธิไม่ได้เลย น้ำตาไหล บางทีน้ำมูกก็ไหลออกมา ควรทําอย่างไรดี,แนะนำให้สวดอาฏานาฏิยปริตร 7 รอบ ติดต่อกันเป็นเวลา 7 วัน ไม่ต้องนั่งสมาธิ,01.02.19,01.02.57,
อยากให้พูดถึงการสร้างกรรมจากการพูดจา หรือใช้คําพูดทําร้ายจิตใจคนอื่นบนโลกโซเชียล ,"ถ้าเราจะมองในแง่ของกรรมในชีวิตประจําวัน สิ่งที่เกิดง่ายที่สุดคือคําพูด เราสร้างกรรมทางคําพูด แล้วสติเราจะขาดหายไปกับการพูดเยอะมาก จะพูดแต่ละครั้งต้องคิดให้ดีว่าควรพูดหรือไม่ควรพูด ต้องเห็นโทษทางวาจาอยู่เรื่อยๆ ไม่พูดอะไรที่ไม่สร้างประโยชน์ เพราะว่าทุกคําพูดมันเป็นวจีกรรม แล้ววจีกรรมสามารถนําไปสู่การกระทําในเรื่องนั้นๆ ได้ด้วย พระองค์ตรัสไว้ว่า หากจะกล่าวถึงโทษในอบายภูมิ ถ้าเกิดเป็นเปรต แบบเบาที่สุดคือเกิดเป็นเปรตที่มีหนอนชอนไชเจาะอยู่ในปากนั้นตลอดทั้งวันและคืน ปากเป็นเหล็กและจะเจาะและกัดกินที่ปากอยู่ตลอด หรือไปเกิดในที่ไหนก็ตาม ปากจะมีกลิ่นเหม็นอยู่ตลอด เหม็นแบบผิดปกติ แล้วก็ถ้าหนักที่สุดก็คือผูกก้อนถ่านเพิงแดงอมไว้ในปาก จนก้อนถ่านเพิงไหม้ที่ปาก ริมฝีปากช่องปากทั้งหมด จนเหลือแต่กระดูกที่ปาก ไม่สามารถที่จะพูดอะไรได้ กรรมเหล่านี้
บังเกิดโทษและก่อให้เกิดโทษในอบายภูมิจริง ไม่ใช่เพียงแต่มากล่าวให้เกิดความกลัวกันเท่านั้น",01.02.58,01.06.45,
ความคิดมาจากจิตหรือสมอง,ความคิดเกิดจากจิตและส่งทอดไปสู่สมอง สมองก็จะเป็นผู้สั่งการให้อวัยวะทางกายกระทําการต่างๆ ตามที่สมองสั่งการ ความคิดไม่สามารถสั่งกายได้ จึงต้องส่งความคิดนั้นไปที่สมองก่อน เพราะสมองเป็นตัวสั่งอวัยวะทางกายให้เคลื่อนไหวหรือกระทําการต่างๆ ในโลกนี้ได้,01.06.46,01.07.56,
การนั่งสมาธิผ่านไปสักครึ่งชั่วโมงจะมีอาการขาเหน็บชา เป็นเรื่องปกติเป็นกันทุกคนหรือไม่ แล้วเราควรภาวนาพุทโธต่อไป หรือควรเปลี่ยนอิริยาบถดีกว่า,ถ้าหากว่าขาเหน็บชาและยังสามารถบริกรรมพุทโธต่อไปได้ ก็ให้ทําต่อ แต่ถ้าทําต่อไม่ได้ แนะนําให้ลุกขึ้นเดินจงกรมจะดีกว่า แล้วขาเหน็บชาก็เป็นเรื่องปกติของคนทั่วไป,01.07.57,01.11.52,
อัตตาคืออะไร แล้วเราจะวางอัตตาอย่างไร,ทัศนะของพระพุทธศาสนา อัตตาไม่มีอยู่ คือไม่มีเลยตั้งแต่แรก ไม่เคยมี และปัจจุบันนี้ก็ไม่ได้มี แต่คําว่าอัตตามันเกิดจากลัทธิเดียรถีย์คิดขึ้น บัญญัติไว้ว่าอัตตาที่เรียกว่าตัวตนของเรา เที่ยงแท้ ยั่งยืน ตั้งมั่น ไม่เปลี่ยนแปลง ยังคงมีอยู่แม้ตายไปแล้วอัตตานี้จะยังมีอยู่ แต่พระองค์กล่าวว่า อนัตตา คือ ตัวตนชนิดนั้นมันไม่ได้มีอยู่ ตั้งแต่แรก ไม่เคยมีและไม่เคยเกิดขึ้นเลย ฉะนั้น คําว่า อัตตา จึงเป็นการกล่าวถึงมิจฉาทิฐิ คือ ความเห็นผิด ที่เราไปเห็นผิดในกายสังขารและจิตสังขารคือกายกับใจของเราว่านี่คือเรา นี่คือตัวตนของเรา อัตตาจึงเป็นการกล่าวถึงตัวตนชนิดที่เรายึดถือไว้ด้วยความเห็นผิด แล้วเมื่อใดก็ตามที่เรายึดถือด้วยความเห็นผิดนี้ อัตตาไม่เพียงแต่ถูกยึดไว้ด้วยความเห็นของเราเท่านั้น แต่อัตราใดๆ ก็ตามที่มันเคยถูกสะสมมาโดยเหตุปัจจัยของการยึดถือแต่ปางก่อน แล้วก็ทํากรรมชนิดใดๆ ไว้ อัตตานั้นก็จะแสดงออกถึงวิบากหรือกรรมที่เคยทํา ทั้งอนุสัย ทั้งอาสวะ ทั้งกิเลส ทั้งสังโยชน์ มันจะเกิดขึ้นปรากฏ ตอบสนองต่อเรื่องราวของชีวิตในปัจจุบันที่เรากระทําสิ่งใดๆ ลงไปแล้ว แล้วมันคุ้นเคยกับเรื่องนั้นๆ มันจะแสดงอารมณ์และเรื่องราวและความรู้สึกเหล่านั้นออกมาจากอัตตาชนิดนั้นๆ และเมื่อใดก็ตามที่เรามีความเห็นผิด อัตตาชนิดนั้นยังคงอยู่ มีอยู่ มันเกิดจากมิจฉาทิฎฐิ ฉะนั้นเมื่อเราสร้างสัมมาทิฏฐิคือความเห็นกายตามความเป็นจริง เห็นจิตตามความเป็นจริง จึงไปทําลายอัตตาชนิดนั้นได้ เพราะมันไม่ได้มีอยู่จริง ฉะนั้นพระองค์จึงสอนสัมมาทิฐิเพื่อไถ่ถอนวิชาทิฐิเป็นของแก้กัน มันจึงสามารถกําจัดกันได้,01.11.53,01.15.49,
ฌานคืออะไร,ฌานมาจากภาษาบาลีว่า ฌานะ แปลว่าการเพ่ง การเพ่งหรือการทําจิตจดจ่อให้อยู่กับสิ่งใดสิ่งหนึ่งแบบไม่เขยื้อนเคลื่อนคลายจากสิ่งนั้น ฌานที่ทําการเพ่งและจดจ่ออยู่กับสิ่งใดสิ่งหนึ่งในลักษณะนี้จะบังเกิดขึ้นในลักษณะแห่งการเพ่งนั้นตั้งแต่ระดับที่หนึ่งเรียกว่าปฐมฌาน จนเข้าไปสู่ระดับที่สองคือทุติยฌานหรือไปถึงฌานแปดตามลําดับ คือการเพ่งในฌานหนึ่งถึงสี่เป็นการเพ่งสิ่งที่เรียกว่าเรียกว่ารูปฌาน ในระดับที่ก้าวล่วงรูปฌานไป คือฌานที่เรียกว่าอรูปฌาน ก็คือฌานที่เป็นนาม ไม่ใช่รูป ก็จะมีอีกสี่อย่าง ก็คือ อากาสานัญจายตนะ วิญญาณัญจายตนะ อากิญจัญญายตนะ เนวสัญญานาสัญญายตนะ เป็นการเพ่งหรือการทําจิตให้จดจ่ออยู่กับสิ่งใดสิ่งหนึ่ง โดยปลักใจลงสิ่งนั้นอย่างมั่นคง ,01.15.50,01.17.11,
"การเล่นเครื่องดนตรีเป็นการขัดขวางการปฏิบัติด้วยไหม ตอนที่เล่นเหมือนจิตจะหลุดจากพระรัตนตรัยไปอยู่ในภวังค์ของเพลงที่เราเล่น ตอนหยุดเล่นเสียงเพลงนั้นก็จะยังติดอยู่ในหัว
เลยคิดว่าการเล่นดนตรีอาจจะเป็นอุปสรรคต่อการปฏิบัติ","พระองค์บอกว่า หนึ่ง เสียงดนตรีที่เราเล่น จิตย่อมเกิดความชื่นชอบในเสียงดนตรีนั้น เมื่อจิตเกิดความชื่นชอบย่อมโน้มเอียงไปในเสียงดนตรีนั้น เมื่อจิตโน้มเอียงไปในเสียงดนตรีนั้น จิตย่อมห่างออกจากสมาธิ เมื่อจิตห่างออกจากสมาธิ ย่อมไม่เกิดความตั้งมั่นในการที่จะรู้อารมณ์ตามความเป็นจริง เมื่อไม่รู้อารมณ์ตามความเป็นจริงก็ไม่เกิดปัญญาว่าสิ่งใดสิ่งหนึ่งเกิดขึ้นเป็นธรรมดาสิ่งนั้นย่อมดับไปเป็นธรรมดา ในขณะที่เราปฏิบัติเราก็ไม่ได้เล่นดนตรี ในขณะที่เราเล่นดนตรี เราก็ไม่ได้ปฏิบัติ อย่าเอาการเล่นดนตรีมาเป็นเครื่องกังวลใจว่าจะทําให้การปฏิบัติที่เรากําลังปฎิบัติเสียหาย เพราะในขณะที่เราปฏิบัติเราแยกแยะออกได้อยู่แล้วว่าเรากําลังปฏิบัติอยู่ พุทธเจ้าสอนว่าชีวิตของเรามันเป็นเรื่องของขณะ ขณะหนึ่งดับไป มันก็ดับไปแล้ว ขณะที่เราปฏิบัติก็เป็นขณะใหม่
พอขณะที่ปฏิบัติดับเสร็จสิ้นไป หรือเสร็จสิ้นไปแล้วก็มาเล่นดนตรีใหม่คือชีวิตมันไม่ได้เป็นของสืบเนื่องเป็นอัตตาตายตัวในสิ่งที่เราเป็น สิ่งที่ทําไปแล้วจะไม่สามารถมารบกวนสิ่งที่ทําใหม่ เป็นเพียงแต่ว่าความกังวลใจของเราหรือความเห็นของเรา  เป็นทิฐิที่ยังไม่สมบูรณ์ เมื่อมันยังไม่สมบูรณ์ มันจึงไปเข้าใจว่าสิ่งที่เราทําครั้งก่อนจะมารบกวนในครั้งนี้ มันไม่ได้รบกวนกัน ขอให้เข้าใจการปฏิบัติแบบนี้ จึงจัดเป็นทางสายกลางที่เราดําเนินได้",01.17.12,01.19.30,
ตามหลักพระพุทธศาสนาแล้ว เราต้องดูแลร่างกายอย่างไรให้ธาตุไฟทํางานได้ดี,พระพุทธเจ้าตรัสไว้ว่า สิ่งที่จะทําให้ธาตุไฟดีก็คือการเดินจงกรม บุคคลผู้เดินจงกรมย่อมจะทําให้เกิดธาตุไฟขึ้นภายในร่างกาย และธาตุไฟจะสามารถรักษาร่างกายให้แข็งแรงและมีธาตุขันธ์ที่ทรงสภาพเพียงพอต่อการบําเพ็ญเพียรได้,01.19.31,01.20.01,
ศาสนาพุทธคือศาสนาของผู้รู้ สติจึงทําหน้าที่ระลึกรู้ พอรู้ก็ไม่ต้องดึงกลับอะไร มันดับไปเองเพราะจะอยู่ที่ทางสายกลางเองถูกต้องใช่ไหม,ถูกต้อง,01.20.04,01.20.27,
อยู่กับลม อย่าอยู่กับความคิด ถ้าอยู่กับความคิด ความคิดจะพ่นพิษใส่เราถูกต้องไหม,ต้องเข้าใจว่าลมเองก็เกิดจากความคิด ถ้าไม่มีความคิด ลมจะไม่สามารถเข้าออกได้เลย เพราะว่าตามหลักของการเคลื่อนไหวของลมนั้นต้องอาศัยจิต เรียกว่าจิตตชวาโย ก็คือจิตสั่งลม สั่งผ่านความคิด แต่ไม่ได้หมายถึงว่าเราจะต้องไปคิดที่จะเข้าลมหายใจเข้าออก มันเป็นกระบวนการที่เป็นเอง ไม่ได้อยู่ในวิสัยของเจตนา เพราะความคิดมันจะเกิดขึ้นสองภาวะ ภาวะแรกก็คือ ภาวะที่โดยเจตนากับภาวะที่สองคือภาวะนอกเจตนา กระบวนการของลมหายใจทุกๆ ลมหายใจ แท้ที่จริงเกิดจากความคิด มีสมมติฐานมาจากจิตเป็นพื้นฐาน ถ้าเรารู้ลมแต่เราไม่รู้สมมติฐานของลมว่ามาจากไหน เราก็จะหลงลง เราไม่รู้ว่าเราหายใจด้วยจิตที่เป็นกุศลหรืออกุศล หายใจด้วยจิตที่เป็นราคะก็มี หายใจด้วยจิตที่เป็นโทสะก็มี ถ้าจิตเรามีโทสะลทําไมเราหายใจแบบรุนแรงฟึดฟัด ไม่เป็นปกติ หัวใจเต้นเร็ว สั้นถี่ ถ้าหากลมหายใจมันอยู่นอกเหนือจิตแล้ว ลมหายใจก็คงต้องนิ่งเหมือนเดิม ไม่กระสับกระส่าย แต่ปรากฏว่าจิตเกิดอุปสรรค เกิดอารมณ์ใดๆ ก็ตาม ลมหายใจก็มีความปั่นป่วน และเปลี่ยนแปลงไปตามจิตด้วย จิตจึงเป็นของลม ฉะนั้น ถ้าเราบอกว่า ใส่ใจลมอย่างเดียวไม่ต้องใส่ใจความคิด อันนี้เราจะหลงลม เราจะไม่เข้าใจลมตามความเป็นจริง เพราะว่าลมก็เกิดจากจิตนั่นแหละ,01.20.28,01.22.26,
เมื่อหลายปีก่อนได้ไปงานศพลุง พอถึงเวลาที่เขาเอาศพออกจากโลงเย็นแล้วเปิดโลงศพดูศพ ลักษณะของศพก็จะผอมๆ ดําๆ แต่จิตที่ภาพนั้น ใจทําไมถึงได้น้อมลง ไม่มีความรู้สึกกลัว เหมือนยอม ทําไมจิตใจถึงได้มีความคิดแบบนี้ขึ้น,อันนี้ถือว่าเป็นลักษณะที่ดีในจิต ที่จิตสามารถยอมรับความเป็นจริงในชนิดนี้ได้ ไม่ว่าจะเกิดมาจากเหตุปัจจัยใดก็ตาม ขอให้เข้าใจว่าการที่เขาบ่งบอกสภาพแห่งการรับรู้รับทราบศพนั้นโดยที่เรายอมรับกับความเป็นอย่างนั้นได้ ไม่รู้สึกกลัวอะไรเลย ขอให้เข้าใจมันคือสิ่งที่ดีมาก แล้วอาศัยมูลเหตุแห่งใจนี้ในการที่สามารถยอมรับความจริงได้ ไปปฏิบัติโดยการพิจารณาความตายไว้อยู่เสมอก็จะเป็นสิ่งที่ดีในชีวิต ,01.22.28,01.23.37,
เคยฟังพระอาจารย์เล่าว่าสมมุติเราผ่าฟืน แล้วไปโดนหนอนที่อยู่ในฟืนตาย เราไม่รู้ไม่ได้เจตนาเราก็ไม่เป็นบาป แล้วสัตว์ที่ตายเขาจะอาฆาตเราไหม,มันมีอยู่สองอย่าง ถ้าสัตว์เขารู้สึกว่าเขาถูกเราทําร้ายหรือโดนฆ่า เขาก็จะโกรธ แต่สัตว์บางจําพวกถ้าเขามีสติ เมื่อเขาตายไปแล้ว เขาก็จะรู้สึกว่าสิ่งที่เขาถูกทําร้ายมันเป็นวิบาก ชีวิตหลังความตายมันจะมีอยู่สองภาวะที่ปรากฏให้เขารับทราบ คือเมื่อไปอยู่ในภพหนึ่งแล้ว จะเกิดการรับรู้ว่าตนเองตายเพราะอะไร หรือมันจะเกิดการเชื่อมโยงทําให้เข้าใจว่าตัวเองตายเพราะอะไร มันก็ขึ้นอยู่กับว่าจิตของสัตว์ชนิดนั้นสะสมสิ่งที่เป็นโทสะมูล ที่เป็นความพยาบาทอาฆาตมาก่อนหรือไม่ ถ้าจิตดวงนั้นสะสมโทสะและความพยาบาทอาฆาตมาก่อน แน่นอนเขาก็ต้องโกรธแค้นเรา สิ่งเหล่านี้เราก็สามารถทำบุญไปให้เขาได้ เพื่อลดทอนความโกรธแค้น เมื่อเขาได้รับบุญเขาเปลี่ยนภพ เขาก็จะอนุโมทนายินดี และไม่โกรธแค้นเราอีก แล้วอีกส่วนหนึ่งก็คือ คนที่รู้ว่าตัวเองตายเพราะกรรมของตน สัตว์บางทีมันรู้ได้นะ หากเป็นเรื่องของวิบากกรรมในวาระสุดท้ายที่เขาจะต้องได้ชดใช้จากการตายด้วยวิธีการนั้น สัตว์ทุกตัวที่ถึงวาระสุดท้ายของชีวิต เขาจะสามารถระลึกกรรมได้ว่าวันนี้เขาจะต้องตาย และจะต้องตายด้วยเหตุใด้เหตุหนึ่งแน่นอน เขาจะไม่โกรธคนที่ทําร้ายเขา,01.23.38,01.26.08,
เคยปฏิบัติด้วยอานาปานสติ ดูลมหายใจ จนจิตเห็นเป็นแสงสีขาว แล้วไม่รู้สึกถึงร่างกาย ไม่รู้สึกได้ถึงลมหายใจ และจิตลงภวังค์ อาการเหมือนตกจากที่สูง สภาวะครั้งสุดท้ายเห็นเส้นขุดกลางอก ตอนนี้จิตฟุ้ง,ในอานาปานสติก็พูดถึงเรื่องนี้ว่ามันจะเกิดภาวะนิมิตขึ้น พอกล่าวถึงขั้นตอนนี้ก็ให้พิจารณานิมิตนี่แหละว่าเป็นสังขาร ฉะนั้นสุดท้ายแล้วพระองค์ก็บอกว่าให้พรากจิตออกจากอานาปานสติ แล้วพิจารณาเห็นความเสื่อมความสิ้นของสังขารทั้งหลาย แล้วจึงจะเข้าไปสู่กระบวนการของวิปัสสนา และเมื่อพิจารณาเห็นความเสื่อมความสิ้นด้วยอนุปัสสนาสาม คือ อนิจจานุปัสสนา ทุกขานุปัสสนา อนัตตานุปัสสนา ในอานาปานสตินั้นพิพากออกมา หมายความพระองค์ไม่ได้ให้ทรงอานาปานสติอย่างนั้นไว้ตลอดนะ ให้พรากจิตออกจากสิ่งที่เป็นนิมิตนั้น จากนั้นให้พิจารณาเป็นสังขารด้วยอนุปัสสนาสาม จิตจะเข้าสู่วิปัสสนา พอเข้าสู่วิปัสสนาโดยการเห็นความเสื่อมความสิ้นของสังขารคือนิมิตรนั้นเสื่อมสิ้น หรืออานาปานสติเสื่อมสิ้น ไม่สามารถตั้งมั่นอยู่ได้ตลอดไป มันก็จะเข้าไปสู่การตรัสรู้ธรรมในเบื้องหน้า คือเห็นความเกิดความดับนั่นเอง,01.26.09,01.28.00,
"คุณแม่มีใจยึดมั่นอยากทําบุญกฐินมาก ถึงขั้นว่าตายตาไม่หลับถ้าไม่ได้ทํา แต่ยังไม่สะดวกด้านทุนทรัพย์ ด้วยตอนนี้มาติดตามพระอาจารย์ ยิ่งรู้สึกไม่อยากให้คุณแม่หมกมุ่น
ทุกข์เพราะเรื่องนี้ จะมีวิธีแนะนําอย่างไรดี",บุญที่เกิดจากการทํากฐิน แม้จะมีอานิสงส์มากตามการที่คุณแม่เคยได้ยินได้ฟังมา อาจารย์อยากจะแนะนําว่า บุคคลผู้น้อมจิตเข้าสู่กระแสพระรัตนตรัยด้วยบทรำลึกถึงพระรัตนตรัยที่ว่า พุทโธเมนาโถ พระพุทธเจ้าเป็นที่พึ่งอันประเสริฐของข้าพเจ้า ธัมโมเมนาโถ พระธรรมเป็นที่พึ่งอันประเสริฐของข้าพเจ้า สังโฆเมนาโถ พระสงฆ์เป็นที่พึ่งเอาประเสริฐของข้าพเจ้า ระลึกย้ำๆซ้ำๆจนให้บทนี้แนบอยู่กับจิต เมื่อบทนี้แนบอยู่กับจิตได้แล้วจิตจะสามารถสัมผัสกับกระแสพระรัตนตรัยได้ อานิสงค์ของการระลึกถึงพระรัตนตรัยนี้ มีอานิสงส์มากกว่าการทํากฐินถึงหนึ่งร้อยครั้ง มีอานิสงส์มากกว่าสร้างโบสถ์ถึงหนึ่งร้อยหลัง มีอานิสงส์มากกว่าการสร้างเจดีย์หนึ่งพันเจดีย์ ฉะนั้นขอให้คุณแม่รับรู้ถึงอานิสงส์ของการระลึกถึงพระรัตนตรัย แล้วให้จิตเรายึดเกาะอยู่กับพระรัตนตรัยนี้ ก็เพียงพอในการที่จะเป็นบุญเป็นกุศลในจิตของเราแล้ว,01.28.03,01.30.56,
เดินจงกรมท่องธาตุสี่อยู่ มีสภาวะหนึ่งว่าน้ำลายที่อยู่ในปากทําไมมันเยอะจัง พอกลืนน้ำลาย น้ำลายก็ออกมาอีก จึงสงสัยทําไมน้ำในร่างกายมันเยอะเต็มไปหมด สภาวะนี้คืออะไร ควรทําต่อไปหรือไม่,"อาการต่างๆ มักจะแสดงออกในเรื่องของวิบากบางอย่างหรือพระอาจารย์ขอวินิจฉัยว่าอาจจะมีบางอย่างรบกวนอยู่ แนะนําให้สวดอานาตาติยปริตรก่อน
จะสวดก่อนเดินจงกรม หรือก่อนนอนก็ได้ แล้วลองเทียบเคียงดู เพราะการท่องธาตุกรรมฐานสี่ มันจะมีพลังขับดันธ์อะไรบางอย่างในร่างกายเรา เพราะฉะนั้นบางอย่างที่มันถูกขับดันออก มันจะต้องขับดันออกผ่านตัวเรา ฉะนั้นแนะนําให้สวดอานาตาติยปริตร เจ็ดรอบ บทเดียว ติดต่อกันเจ็ดวัน",01.31.41,01.33.17,
อธิบายเรื่องการใช้ขันติธรรม ที่เป็นเครื่องเผากิเลส ,ขันติคือความอดทน จะอดทนกับอะไรไม่ได้ ถ้าไม่อดทนต่อความทุกข์ เพราะความสุขมันไม่จําเป็นต้องอดทนอะไรเลย ฉะนั้นเมื่อประสบกับความทุกข์ให้ใช้ความอดทน ลักษณะของความอดทนต้องใช้การฝืน เป็นความสําคัญอย่างยิ่ง การฝืนเป็นข้อปฏิบัติหลัก ประกอบกับขันติที่จะทําให้ขันติลุล่วงต่อเหตุการณ์แห่งความทุกข์ หรือสิ่งที่ไม่ดีที่ผ่านเข้ามาในภายในชีวิตของเรา การใช้ขันติที่ถูกต้อง คือการเก็บความทุกข์อันนั้นไว้ เพื่อไม่ให้ความทุกข์นั้น กระทบกระทั่งผู้อื่นทางกาย วาจาหรือใจ แล้วเปลี่ยนความทุกข์นั้นให้กลายเป็นพลังงานที่สร้างสรรค์และกระทําสิ่งที่มันเป็นประโยชน์ การฝึกแบบนี้อยู่เสมอ จะได้ชื่อว่าเป็นการใช้ความอดทนในการเปลี่ยนเหตุร้ายให้กลายมาเป็นดีได้ แล้วเราก็จะผ่านพ้นเรื่องราวร้ายๆในชีวิต และจะเดินอยู่ในหนทางแห่งความหลุดพ้นในเบื้องหน้าได้,01.33.18,01.34.50,
